iter	Passed	Remaining
0	184	184353
1	201	100521
2	217	72336
3	233	58098
4	250	49783
5	266	44112
6	282	40036
7	297	36830
8	312	34428
9	327	32461
10	343	30840
11	358	29533
12	374	28410
13	390	27480
14	405	26630
15	420	25866
16	436	25213
17	451	24628
18	467	24126
19	483	23674
20	499	23269
21	514	22867
22	529	22504
23	546	22204
24	562	21938
25	579	21714
26	597	21526
27	614	21323
28	631	21151
29	648	20970
30	665	20789
31	681	20619
32	698	20463
33	714	20311
34	731	20160
35	748	20043
36	765	19917
37	782	19818
38	799	19708
39	817	19616
40	834	19530
41	853	19472
42	873	19443
43	891	19380
44	909	19292
45	926	19221
46	941	19097
47	958	19017
48	974	18916
49	989	18808
50	1005	18717
51	1021	18621
52	1036	18526
53	1053	18452
54	1069	18368
55	1083	18257
56	1098	18168
57	1113	18086
58	1129	18011
59	1145	17941
60	1161	17880
61	1176	17802
62	1192	17740
63	1208	17671
64	1223	17603
65	1238	17531
66	1255	17480
67	1270	17419
68	1286	17359
69	1302	17301
70	1317	17237
71	1334	17197
72	1349	17134
73	1364	17077
74	1380	17023
75	1396	16973
76	1411	16921
77	1427	16873
78	1444	16840
79	1460	16793
80	1477	16760
81	1493	16716
82	1509	16673
83	1525	16635
84	1540	16586
85	1556	16542
86	1572	16498
87	1587	16453
88	1603	16411
89	1618	16367
90	1634	16325
91	1651	16296
92	1666	16253
93	1682	16215
94	1698	16176
95	1714	16141
96	1728	16095
97	1745	16062
98	1761	16026
99	1777	15993
100	1792	15957
101	1808	15925
102	1824	15888
103	1840	15855
104	1857	15835
105	1875	15815
106	1891	15790
107	1907	15757
108	1923	15722
109	1939	15690
110	1953	15646
111	1968	15610
112	1985	15584
113	2001	15553
114	2017	15523
115	2032	15488
116	2047	15453
117	2062	15418
118	2079	15393
119	2094	15356
120	2109	15327
121	2125	15296
122	2140	15260
123	2156	15235
124	2172	15205
125	2188	15182
126	2204	15151
127	2219	15120
128	2235	15093
129	2250	15059
130	2265	15028
131	2282	15007
132	2297	14978
133	2312	14946
134	2328	14918
135	2343	14889
136	2359	14864
137	2375	14836
138	2391	14813
139	2406	14784
140	2421	14749
141	2436	14720
142	2452	14695
143	2468	14671
144	2485	14652
145	2499	14622
146	2515	14595
147	2530	14567
148	2545	14541
149	2561	14515
150	2577	14490
151	2594	14474
152	2612	14461
153	2629	14445
154	2646	14426
155	2663	14408
156	2679	14389
157	2697	14374
158	2714	14356
159	2731	14340
160	2748	14321
161	2766	14308
162	2782	14289
163	2799	14271
164	2816	14252
165	2833	14236
166	2851	14221
167	2868	14208
168	2885	14190
169	2902	14170
170	2918	14149
171	2934	14125
172	2948	14095
173	2964	14073
174	2979	14047
175	2996	14027
176	3012	14005
177	3027	13979
178	3042	13955
179	3058	13933
180	3073	13908
181	3089	13887
182	3105	13865
183	3121	13841
184	3137	13820
185	3153	13798
186	3168	13776
187	3184	13754
188	3200	13732
189	3216	13710
190	3231	13689
191	3246	13663
192	3262	13641
193	3278	13621
194	3293	13597
195	3309	13575
196	3324	13552
197	3340	13531
198	3356	13511
199	3372	13489
200	3388	13468
201	3405	13452
202	3421	13432
203	3436	13409
204	3452	13387
205	3468	13367
206	3484	13347
207	3499	13325
208	3515	13305
209	3530	13283
210	3546	13260
211	3561	13236
212	3577	13217
213	3592	13195
214	3609	13179
215	3626	13164
216	3644	13148
217	3660	13132
218	3677	13114
219	3693	13094
220	3709	13074
221	3725	13055
222	3741	13034
223	3756	13014
224	3773	12996
225	3789	12977
226	3805	12960
227	3822	12941
228	3838	12924
229	3856	12911
230	3872	12890
231	3887	12870
232	3903	12850
233	3919	12829
234	3934	12808
235	3950	12787
236	3965	12767
237	3980	12742
238	3995	12721
239	4011	12701
240	4026	12681
241	4042	12662
242	4058	12643
243	4075	12626
244	4091	12608
245	4106	12587
246	4122	12568
247	4138	12548
248	4154	12531
249	4170	12510
250	4186	12493
251	4201	12472
252	4218	12454
253	4233	12433
254	4248	12413
255	4264	12394
256	4279	12372
257	4295	12352
258	4310	12332
259	4327	12315
260	4343	12297
261	4359	12280
262	4375	12260
263	4391	12242
264	4406	12221
265	4421	12201
266	4436	12180
267	4453	12162
268	4468	12142
269	4484	12124
270	4499	12104
271	4515	12084
272	4531	12066
273	4547	12048
274	4562	12028
275	4579	12011
276	4596	11998
277	4613	11982
278	4630	11966
279	4646	11948
280	4664	11934
281	4681	11920
282	4697	11902
283	4714	11885
284	4731	11870
285	4748	11855
286	4765	11839
287	4783	11826
288	4800	11810
289	4819	11798
290	4836	11784
291	4854	11769
292	4870	11752
293	4887	11737
294	4905	11722
295	4923	11709
296	4938	11689
297	4954	11671
298	4970	11653
299	4986	11634
300	5002	11617
301	5019	11601
302	5035	11582
303	5051	11564
304	5067	11546
305	5083	11528
306	5100	11512
307	5115	11492
308	5131	11475
