V2	V4	V5	V7	V8	V10	V13	V14	V15	V16	V17	V18	V21	V22	V25	Amount	Class
-0.072781173	1.378155224	-0.33832077	0.239598554	0.098697901	0.090794172	-0.991389847	-0.311169354	1.468176972	-0.470400525	0.207971242	0.02579058	-0.018306778	0.277837576	0.128539358	149.62	0
0.266150712	0.448154078	0.060017649	-0.078802983	0.085101655	-0.166974414	0.489095016	-0.143772296	0.635558093	0.463917041	-0.114804663	-0.18336127	-0.225775248	-0.638671953	0.167170404	2.69	0
-1.340163075	0.379779593	-0.503198133	0.791460956	0.247675787	0.207642865	0.717292731	-0.165945923	2.345864949	-2.890083194	1.109969379	-0.121359313	0.247998153	0.771679402	-0.327641834	378.66	0
-0.185226008	-0.863291275	-0.01030888	0.23760894	0.377435875	-0.054951922	0.50775687	-0.287923745	-0.631418118	-1.059647245	-0.684092786	1.965775003	-0.108300452	0.005273597	0.647376035	123.5	0
0.877736755	0.403033934	-0.407193377	0.592940745	-0.270532677	0.753074432	1.345851593	-1.119669835	0.17512113	-0.451449183	-0.237033239	-0.038194787	-0.009430697	0.798278495	-0.206009588	69.99	0
0.960523045	-0.16825208	0.420986881	0.476200949	0.260314333	-0.371407197	-0.358090653	-0.1371337	0.517616807	0.401725896	-0.058132823	0.068653149	-0.208253515	-0.559824796	-0.232793817	3.67	0
0.141003507	1.202612737	0.191880989	-0.005159003	0.08121294	-0.099254321	-0.751062716	0.167371963	0.050143594	-0.443586798	0.002820512	-0.61198734	-0.167716266	-0.270709726	0.750136936	4.99	0
1.417963545	-0.492199018	0.948934095	1.120631358	-3.807864239	1.249376178	1.757964214	-1.32386522	0.686132504	-0.076126999	-1.222127345	-0.35822157	1.94346534	-1.01545471	-0.415266566	40.8	0
0.286157196	-0.27152613	2.66959866	0.370145128	0.851084443	-0.410430433	-0.286253632	0.07435536	-0.32878305	-0.210077268	-0.499767969	0.118764861	-0.0734251	-0.268091632	0.37320468	93.2	0
1.119593376	-0.222187277	0.499360806	0.651583206	0.069538587	-0.366845639	1.006843514	-0.443522817	0.150219101	0.739452777	-0.540979922	0.47667726	-0.246913937	-0.633752642	-0.069733046	3.68	0


1.951992011	3.997905588	-0.522187865	-2.537387306	1.391657248	-2.772272145	-0.595221881	-4.289253782	0.38972412	-1.14074718	-2.830055675	-0.016822468	0.517232371	-0.035049369	0.044519167	0	1
-3.157307121	2.288643618	1.35980513	0.325574266	-0.067793653	-0.838586565	0.676501545	-1.692028933	2.000634839	0.666779696	0.599717414	1.725321007	0.661695925	0.435477209	0.279798032	529	1
1.75924746	2.330243051	-0.821628328	0.562319782	-0.399146578	-1.525411627	0.022937323	-1.470101536	-0.698826069	-2.282193829	-4.781830856	-2.615664945	-0.294166318	-0.932391057	-0.156114265	239.93	1
1.358367028	2.679786967	-1.128130942	-3.496197293	-0.248777743	-4.801637406	0.184371686	-6.771096725	-0.007326183	-7.358083221	-12.59841854	-5.131548628	0.573574068	0.176967718	0.252405262	59	1
3.019740421	4.73279513	3.624200831	1.713444988	-0.496358487	-2.447469255	1.464377625	-6.079337193	-0.339237373	2.581850954	6.739384385	3.042493178	-0.379068307	-0.704181032	1.488901448	1	1
4.137836835	6.675732163	0.768307025	-1.631734673	0.154612448	-6.18789063	-0.306166658	-10.69119621	-0.638498193	-2.041973791	-1.129055877	0.116452521	0.36451421	-0.608057134	1.48848121	1	1
4.132463897	6.348556673	1.329665669	-1.6891022	0.303252801	-6.045467798	0.702724998	-10.7338541	-1.379519857	-1.638960115	-1.746350136	0.776744098	0.370508651	-0.576752473	1.60505555	1	1
3.712889295	6.078265506	1.667359013	-0.812891249	0.133080118	-5.134454471	-0.7974836	-9.17716637	-0.257024775	-0.87168849	1.313013629	0.773913873	0.156617169	-0.652450441	1.415716615	1	1
3.809075947	6.047445102	1.554025957	-0.746579273	0.055586311	-4.959492912	0.386351667	-9.252307247	-1.365188415	-0.502362191	0.784426598	1.494304607	0.208828369	-0.511746619	1.474752584	1	1
